UrunKodu;UrunAdi;Birim;DonusumOrani;Barkod;SatisFiyati;Doviz;KDV;KDVDahil;AnaBirim
PRD001;Laptop HP ProBook 450;Adet;1;8690000000001;18500;TRY;20;Hayir;Evet
PRD002;Mouse Logitech M185;Adet;1;8690000000002;180;TRY;20;Hayir;Evet
PRD002;Mouse Logitech M185;Koli;10;8690000000012;1700;TRY;20;Hayir;Hayir
PRD003;Klavye Logitech K120;Adet;1;8690000000003;280;TRY;20;Hayir;Evet
PRD003;Klavye Logitech K120;Koli;10;8690000000013;2600;TRY;20;Hayir;Hayir
PRD004;Monitor Dell 24";Adet;1;8690000000004;5500;TRY;20;Hayir;Evet
PRD005;USB Kablo 1.5m;Adet;1;8690000000005;45;TRY;20;Hayir;Evet
PRD005;USB Kablo 1.5m;Paket;5;8690000000015;200;TRY;20;Hayir;Hayir
PRD005;USB Kablo 1.5m;Koli;50;8690000000025;1900;TRY;20;Hayir;Hayir
PRD006;HDMI Kablo 2m;Adet;1;8690000000006;120;TRY;20;Hayir;Evet
PRD006;HDMI Kablo 2m;Paket;5;8690000000016;550;TRY;20;Hayir;Hayir
PRD007;Webcam Logitech C920;Adet;1;8690000000007;1800;TRY;20;Hayir;Evet
PRD008;Kulaklık JBL Tune 500;Adet;1;8690000000008;1200;TRY;20;Hayir;Evet
PRD009;Powerbank 10000mAh;Adet;1;8690000000009;500;TRY;20;Hayir;Evet
PRD009;Powerbank 10000mAh;Koli;12;8690000000019;5500;TRY;20;Hayir;Hayir
PRD010;Telefon Kılıfı iPhone 14;Adet;1;8690000000010;250;TRY;20;Hayir;Evet
PRD010;Telefon Kılıfı iPhone 14;Paket;10;8690000000020;2200;TRY;20;Hayir;Hayir
PRD014;Toner HP 85A;Adet;1;8690000000014;650;TRY;20;Hayir;Evet
PRD014;Toner HP 85A;Koli;4;8690000000024;2400;TRY;20;Hayir;Hayir
PRD015;A4 Kağıt 500'lü;Paket;1;8690000000115;180;TRY;20;Hayir;Evet
PRD015;A4 Kağıt 500'lü;Koli;5;8690000000125;850;TRY;20;Hayir;Hayir
