UrunKodu;UrunAdi;SeriNumarasi;Durum;AlisTarihi;AlisFiyati;TedarikciKodu;SatisTarihi;SatisFiyati;MusteriKodu;GarantiBitis;Notlar
PRD001;Laptop HP ProBook 450;SN-HP450-001;Stokta;2026-01-15;15000;TED001;;;;2027-01-15;
PRD001;Laptop HP ProBook 450;SN-HP450-002;Stokta;2026-01-15;15000;TED001;;;;2027-01-15;
PRD001;Laptop HP ProBook 450;SN-HP450-003;Stokta;2026-01-15;15000;TED001;;;;2027-01-15;
PRD001;Laptop HP ProBook 450;SN-HP450-004;Satildi;2026-01-15;15000;TED001;2026-02-10;18500;MUS001;2027-01-15;
PRD001;Laptop HP ProBook 450;SN-HP450-005;Satildi;2026-01-15;15000;TED001;2026-02-12;18500;MUS002;2027-01-15;
PRD001;Laptop HP ProBook 450;SN-HP450-006;Serviste;2026-01-15;15000;TED001;;;;2027-01-15;Anakart arızası - servise gönderildi
PRD001;Laptop HP ProBook 450;SN-HP450-007;Arizali;2026-01-15;15000;TED001;;;;2027-01-15;Ekran hasarlı - onarım bekliyor
PRD007;Webcam Logitech C920;SN-C920-001;Stokta;2026-02-01;1200;TED002;;;;2028-02-01;
PRD007;Webcam Logitech C920;SN-C920-002;Stokta;2026-02-01;1200;TED002;;;;2028-02-01;
PRD007;Webcam Logitech C920;SN-C920-003;Satildi;2026-02-01;1200;TED002;2026-02-20;1800;MUS003;2028-02-01;
PRD007;Webcam Logitech C920;SN-C920-004;Satildi;2026-02-01;1200;TED002;2026-02-22;1800;MUS004;2028-02-01;
PRD007;Webcam Logitech C920;SN-C920-005;Iade;2026-02-01;1200;TED002;2026-02-25;1800;MUS005;2028-02-01;Müşteri iade etti - çalışmıyor
PRD004;Monitor Dell 24";SN-DELL24-001;Stokta;2026-01-20;4500;TED003;;;;2029-01-20;
PRD004;Monitor Dell 24";SN-DELL24-002;Stokta;2026-01-20;4500;TED003;;;;2029-01-20;
PRD004;Monitor Dell 24";SN-DELL24-003;Stokta;2026-01-20;4500;TED003;;;;2029-01-20;
PRD004;Monitor Dell 24";SN-DELL24-004;Satildi;2026-01-20;4500;TED003;2026-02-28;5500;MUS006;2029-01-20;
PRD004;Monitor Dell 24";SN-DELL24-005;Satildi;2026-01-20;4500;TED003;2026-03-01;5500;MUS007;2029-01-20;
PRD008;Kulaklık JBL Tune 500;SN-JBL500-001;Stokta;2026-02-10;800;TED004;;;;2027-02-10;
PRD008;Kulaklık JBL Tune 500;SN-JBL500-002;Stokta;2026-02-10;800;TED004;;;;2027-02-10;
PRD008;Kulaklık JBL Tune 500;SN-JBL500-003;Satildi;2026-02-10;800;TED004;2026-03-02;1200;MUS008;2027-02-10;
PRD008;Kulaklık JBL Tune 500;SN-JBL500-004;Hurda;2026-02-10;800;TED004;;;;2027-02-10;Nakliye hasarı - hurda
